Date,Time (UTC),Type,Symbol,Specification,Liquidity Indicator,Trading Fee Rate (bps),USD Amount USD,Fee (USD) USD,USD Balance USD,BTC Amount BTC,Fee (BTC) BTC,BTC Balance BTC,ETH Amount ETH,Fee (ETH) ETH,ETH Balance ETH,LTC Amount LTC,Fee (LTC) LTC,LTC Balance LTC,DOGE Amount DOGE,Fee (DOGE) DOGE,DOGE Balance DOGE,USDC Amount USDC,Fee (USDC) USDC,USDC Balance USDC,XRP Amount XRP,Fee (XRP) XRP,XRP Balance XRP,FET Amount FET,Fee (FET) FET,FET Balance FET,SHIB Amount SHIB,Fee (SHIB) SHIB,SHIB Balance SHIB,LRC Amount LRC,Fee (LRC) LRC,LRC Balance LRC,SUSHI Amount SUSHI,Fee (SUSHI) SUSHI,SUSHI Balance SUSHI,BONK Amount BONK,Fee (BONK) BONK,BONK Balance BONK,FTM Amount FTM,Fee (FTM) FTM,FTM Balance FTM,RNDR Amount RNDR,Fee (RNDR) RNDR,RNDR Balance RNDR,ALI Amount ALI,Fee (ALI) ALI,ALI Balance ALI,PEPE Amount PEPE,Fee (PEPE) PEPE,PEPE Balance PEPE,Trade ID,Order ID,Order Date,Order Time,Client Order ID,API Session,Tx Hash,Deposit Destination,Deposit Tx Output,Withdrawal Destination,Withdrawal Tx Output
2024-11-29,05:33:58.496,Credit,USDC,Deposit (USDC),,,,,$0.00 ,,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,"1,922.253014 USDC ",0.0 USDC ,"1,922.253014 USDC ",,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,,,,,,,8c61e482fb828a3911ef533524d53da472ac67d1ef9a6073d158b9711a58cb19,0x5BF91866CCaeDefF6a6E547b1Cbc528b0191AFb1,243,,
2024-11-30,15:28:03.931,Sell,USDCUSD,Limit,Taker,0.99996 ,"$1,922.08 ",($0.19),"$1,921.89 ",,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,"(1,922.253014 USDC)",,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140871326059,73771233296356394,2024-11-30,15:28:03.931,ff9093e1-904a-4ea8-b70a-a7e05341776f,web,,,,,
2024-11-30,15:28:24.103,Buy,ETHUSD,Limit,Taker,39.99946 ,($61.26),($0.25),"$1,860.38 ",,,0.0 BTC ,0.016661 ETH ,,0.016661 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140871326101,73771233296375155,2024-11-30,15:28:24.103,,web,,,,,
2024-11-30,15:28:24.103,Buy,ETHUSD,Limit,Taker,39.99982 ,($339.27),($1.36),"$1,519.75 ",,,0.0 BTC ,0.092269 ETH ,,0.10893 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,0.0 PEPE ,2840140871326100,73771233296375155,2024-11-30,15:28:24.103,,web,,,,,
2024-12-01,11:51:43.193,Buy,PEPEUSD,Limit,Maker,20.00 ,($36.97),($0.07),"$1,482.70 ",,,0.0 BTC ,,,0.10893 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,"1,761,576.502322 PEPE ",,"1,761,576.502322 PEPE ",2840140871521264,73771233367842462,2024-12-01,11:51:33.361,,web,,,,,
2024-12-01,12:00:38.948,Buy,PEPEUSD,Limit,Taker,40.00 ,"($1,002.67)",($4.01),$476.03 ,,,0.0 BTC ,,,0.10893 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,"47,641,734.159123 PEPE ",,"49,403,310.661445 PEPE ",2840140871522060,73771233368205623,2024-12-01,12:00:38.948,,web,,,,,
2024-12-02,00:08:38.497,Sell,ETHUSD,Limit,Maker,19.99992 ,$403.67 ,($0.81),$878.89 ,,,0.0 BTC ,(0.1089 ETH),,0.00003 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,"49,403,310.661445 PEPE ",2840140871701068,73771233414947013,2024-12-02,00:08:10.941,,web,,,,,
2024-12-02,00:08:41.252,Sell,ETHUSD,Limit,Maker,19.78341 ,$0.11 ,($0.00),$879.00 ,,,0.0 BTC ,(0.00003 ETH),,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,,,0.0 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,"49,403,310.661445 PEPE ",2840140871701090,73771233414947013,2024-12-02,00:08:10.941,,web,,,,,
2024-12-02,01:24:12.225,Buy,XRPUSD,Limit,Taker,40.00 ,($438.86),($1.76),$438.39 ,,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,176.573552 XRP ,,176.573552 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,"49,403,310.661445 PEPE ",2840140871735880,73771233424147651,2024-12-02,01:24:12.225,,web,,,,,
2024-12-02,01:38:02.870,Sell,XRPUSD,Limit,Maker,19.99995 ,$13.46 ,($0.03),$451.82 ,,,0.0 BTC ,,,0.0 ETH ,,,0.0 LTC ,,,0.0 DOGE ,,,0.0 USDC ,(5.607274 XRP),,170.966278 XRP ,,,0.0 FET ,,,0.0 SHIB ,,,0.0 LRC ,,,0.0 SUSHI ,,,0.0 BONK ,,,0.0 FTM ,,,0.0 RNDR ,,,0.0 ALI ,,,"49,403,310.661445 PEPE ",2840140871745785,73771233425982085,2024-12-02,01:37:57.288,441da1b7-60fe-4ff9-9b84-b2a1bc67467f,web,,,,,
